"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1533395","Sat Jun 29 00:00:00 2013","","","Life","TV Series","","10","9.2","","2009","documentary","9203","2009-10-12","http://www.imdb.com/title/tt1533395/"
"2","tt1905041","Thu Jun 27 00:00:00 2013","","","Fast & Furious 6","Feature Film","Justin Lin","8","7.6","130","2013","action, crime, thriller","82534","2013-05-07","http://www.imdb.com/title/tt1905041/"
"3","tt0770828","Wed Jun 26 00:00:00 2013","","","Man of Steel","Feature Film","Zack Snyder","8","7.9","143","2013","action, adventure, fantasy, sci_fi","145238","2013-06-10","http://www.imdb.com/title/tt0770828/"
"4","tt1343092","Mon Jun 24 00:00:00 2013","","","The Great Gatsby - Kultahattu","Feature Film","Baz Luhrmann","5","7.5","143","2013","drama, romance","73564","2013-05-01","http://www.imdb.com/title/tt1343092/"
"5","tt1408101","Fri Jun 21 00:00:00 2013","","","Star Trek Into Darkness","Feature Film","J.J. Abrams","9","8.2","132","2013","action, adventure, sci_fi, thriller","116888","2013-05-02","http://www.imdb.com/title/tt1408101/"
"6","tt0462396","Fri Jun 21 00:00:00 2013","","","The Last Legion","Feature Film","Doug Lefler","2","5.4","102","2007","action, adventure, fantasy, war","20775","2007-04-19","http://www.imdb.com/title/tt0462396/"
"7","tt1683526","Thu Jun 13 00:00:00 2013","","","Detachment","Feature Film","Tony Kaye","6","7.6","97","2011","drama","28070","2011-04-25","http://www.imdb.com/title/tt1683526/"
"8","tt1371111","Wed May  1 00:00:00 2013","","","Pilvikartasto","Feature Film","Tom Tykwer, Andy Wachowski","4","7.7","172","2012","adventure, drama, sci_fi","144957","2012-09-08","http://www.imdb.com/title/tt1371111/"
"9","tt1499658","Wed May  1 00:00:00 2013","","","Kaameat pomot","Feature Film","Seth Gordon","4","6.9","98","2011","comedy, crime","208127","2011-07-08","http://www.imdb.com/title/tt1499658/"
"10","tt1300854","Sat Apr 27 00:00:00 2013","","","Iron Man 3","Feature Film","Shane Black","10","7.6","130","2013","action, adventure, sci_fi","193964","2013-04-18","http://www.imdb.com/title/tt1300854/"
"11","tt1483013","Sun Apr 21 00:00:00 2013","","","Oblivion","Feature Film","Joseph Kosinski","6","7.1","124","2013","action, adventure, sci_fi","77945","2013-04-10","http://www.imdb.com/title/tt1483013/"
"12","tt0120832","Thu Mar 28 00:00:00 2013","","","Snake Eyes","Feature Film","Brian De Palma","2","5.9","98","1998","crime, mystery, thriller","48294","1998-07-30","http://www.imdb.com/title/tt0120832/"
"13","tt1242460","Mon Mar 18 00:00:00 2013","","","Poikani Kevin","Feature Film","Lynne Ramsay","7","7.5","112","2011","drama, thriller","53492","2011-05-12","http://www.imdb.com/title/tt1242460/"
"14","tt1220719","Thu Mar 14 00:00:00 2013","","","Yip Man","Feature Film","Wilson Yip","10","8.1","106","2008","action, biography, drama, history, sport","77322","2008-12-12","http://www.imdb.com/title/tt1220719/"
"15","tt0415160","Wed Mar 13 00:00:00 2013","","","Minotaurus","Feature Film","Jonathan English","1","3.5","93","2006","adventure, fantasy, horror","2892","2006-03-11","http://www.imdb.com/title/tt0415160/"
"16","tt0048424","Mon Mar 11 00:00:00 2013","","","Räsynukke","Feature Film","Charles Laughton","2","8.2","93","1955","drama, film_noir, thriller","41281","1955-07-26","http://www.imdb.com/title/tt0048424/"
"17","tt0020629","Mon Mar 11 00:00:00 2013","","","Länsirintamalta ei mitään uutta","Feature Film","Lewis Milestone","8","8.0","136","1930","drama, war","35602","1930-04-21","http://www.imdb.com/title/tt0020629/"
"18","tt0069281","Mon Mar 11 00:00:00 2013","","","Pirullista peliä","Feature Film","Joseph L. Mankiewicz","9","8.1","138","1972","mystery, thriller","28036","1972-12-10","http://www.imdb.com/title/tt0069281/"
"19","tt1568346","Thu Mar  7 00:00:00 2013","","","The Girl with the Dragon Tattoo","Feature Film","David Fincher","7","7.9","158","2011","crime, drama, mystery, thriller","204196","2011-12-12","http://www.imdb.com/title/tt1568346/"
"20","tt0443272","Wed Mar  6 00:00:00 2013","","","Lincoln","Feature Film","Steven Spielberg","4","7.5","150","2012","biography, drama, history, war","106223","2012-10-08","http://www.imdb.com/title/tt0443272/"
"21","tt0914837","Tue Mar  5 00:00:00 2013","","","44 Inch Chest","Feature Film","Malcolm Venville","4","5.8","95","2009","crime, drama","4404","2009-10-19","http://www.imdb.com/title/tt0914837/"
"22","tt0061722","Tue Mar  5 00:00:00 2013","","","Miehuuskoe","Feature Film","Mike Nichols","5","8.1","106","1967","comedy, drama, romance","138719","1967-12-21","http://www.imdb.com/title/tt0061722/"
"23","tt1045658","Sun Mar  3 00:00:00 2013","","","Unelmien pelikirja","Feature Film","David O. Russell","7","7.9","122","2012","comedy, drama, romance","224218","2012-09-08","http://www.imdb.com/title/tt1045658/"
"24","tt0109040","Wed Feb 27 00:00:00 2013","","","Ace Ventura - lemmikkidekkari","Feature Film","Tom Shadyac","5","6.8","86","1994","comedy","136368","1994-02-04","http://www.imdb.com/title/tt0109040/"
