"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1259574","Wed Jul 10 00:00:00 2013","","","Red Riding: In the Year of Our Lord 1974","Feature Film","Julian Jarrold","7","7.1","102","2009","crime, drama, mystery, thriller","6425","2009-02-28","http://www.imdb.com/title/tt1259574/"
"2","tt0085794","Wed Jul 10 00:00:00 2013","","","The King of Comedy","Feature Film","Martin Scorsese","6","7.7","109","1982","comedy, drama","32780","1982-12-18","http://www.imdb.com/title/tt0085794/"
"3","tt1905041","Mon Jul  8 00:00:00 2013","","","Furious 6","Feature Film","Justin Lin","8","7.4","130","2013","action, crime, thriller","95148","2013-05-07","http://www.imdb.com/title/tt1905041/"
"4","tt0770828","Thu Jun 27 00:00:00 2013","","","Man of Steel","Feature Film","Zack Snyder","9","7.8","143","2013","action, adventure, fantasy, sci_fi","175777","2013-06-10","http://www.imdb.com/title/tt0770828/"
"5","tt1343092","Thu Jun 27 00:00:00 2013","","","The Great Gatsby","Feature Film","Baz Luhrmann","6","7.5","143","2013","drama, romance","76932","2013-05-01","http://www.imdb.com/title/tt1343092/"
"6","tt1408101","Thu Jun 13 00:00:00 2013","","","Star Trek Into Darkness","Feature Film","J.J. Abrams","9","8.2","132","2013","action, adventure, sci_fi","123131","2013-05-02","http://www.imdb.com/title/tt1408101/"
"7","tt1683526","Thu Jun 13 00:00:00 2013","","","Detachment","Feature Film","Tony Kaye","7","7.6","97","2011","drama","28489","2011-04-25","http://www.imdb.com/title/tt1683526/"
"8","tt1371111","Thu May  2 00:00:00 2013","","","Cloud Atlas","Feature Film","Tom Tykwer, Andy Wachowski","7","7.6","172","2012","adventure, drama, sci_fi","149655","2012-09-08","http://www.imdb.com/title/tt1371111/"
"9","tt1499658","Wed May  1 00:00:00 2013","","","Horrible Bosses","Feature Film","Seth Gordon","5","6.9","98","2011","comedy, crime","210262","2011-07-08","http://www.imdb.com/title/tt1499658/"
"10","tt1300854","Fri Apr 26 00:00:00 2013","","","Iron Man 3","Feature Film","Shane Black","9","7.6","130","2013","action, adventure, sci_fi","200961","2013-04-18","http://www.imdb.com/title/tt1300854/"
